"m1","d1","m2","d2","sigma1","sigma2","rho1","lambda","v1","v2","phi1","phi2","rho2"
-0.101582592800978,0.0824730710560992,-3.69703879272283,17.4486302634603,0.0101842512386306,0.0284556498902042,-0.666284456220464,6.64242911147076,0.0343945255174675,0.749522092773978,0.0267586817040429,0.619996732979402,-0.973219637342892
-0.111046836390168,0.0810586261765843,-3.63621689098545,16.8673644677877,0.00964505754723217,0.027963158183268,-0.689558541421789,5.61128999707958,0.0347570600911844,0.721403178501239,0.0270096130935216,0.624470147680079,-0.976146052561415
-0.137543545094588,0.0974470350398902,-3.59916244697428,18.4163976726837,0.00952147764808238,0.0282290646705607,-0.592278655348901,5.70985913915657,0.0408559468881847,0.7736838609211,0.0269476464960709,0.613243311628252,-0.975255300416513
-0.103054293957626,0.0912145741056241,-3.59164418567552,17.2005381281816,0.00952963986282937,0.0282876668864691,-0.6184654350282,5.78896592688335,0.0334176772605408,0.764091676673607,0.0272632850845432,0.595038475283782,-0.977039104492321
-0.140354076465355,0.0812139246003203,-3.62785603539907,18.4155059141634,0.00945193560292531,0.0282355717121562,-0.473147090034227,5.97499814205285,0.0354393577817808,0.692761581688134,0.0280953797893751,0.583455207358981,-0.980587824536569
-0.150510550779521,0.090754338049082,-3.68698098152419,19.6122233176274,0.00943408350115213,0.0285501033478114,-0.418940352029202,6.59952965853849,0.0339706698755585,0.778201736381716,0.0284955670609257,0.540775701843067,-0.98169276200235
-0.124784133435331,0.0903352680546956,-3.60899779729513,19.3865273874098,0.00965156706493884,0.0301787050773971,-0.300932171591999,7.54371014208757,0.0344791102184398,0.759066672465972,0.0286864632334256,0.492072602097799,-0.982231975989934
-0.127859210809297,0.0942043644442951,-3.623049508648,18.7196069922655,0.00980262584550995,0.0299365910145367,-0.363711872972816,7.65894018815257,0.0326907666461191,0.739281843908076,0.0286361662704739,0.503039629391546,-0.982539880125014
-0.143931150891561,0.0891884624010289,-3.59831502638545,18.0039513137614,0.00979152809425558,0.0300864444472551,-0.371061113351821,7.95608325982523,0.0301864799826333,0.726647652206045,0.0284152606179409,0.514806717127786,-0.982362420422772
-0.159312613245614,0.0964752081135883,-3.60761253287618,19.2152704155656,0.00960159184351516,0.0311440769591611,-0.289811066607503,7.48472946198763,0.0325728442683047,0.742575007594249,0.0287401036170529,0.486574652328615,-0.982546812945573
-0.136204233970029,0.102429530887132,-3.57777428196669,20.1095476351709,0.0092617931846054,0.0314723255333332,-0.314786686094523,7.87263221702362,0.0312605700625222,0.762947677045608,0.0289782794940737,0.476903441850473,-0.97964857099339
-0.131383328281104,0.0879190831906012,-3.59325206442054,19.8031303384204,0.00922127202693861,0.0329972010405624,-0.411368897745357,8.00296196299582,0.0331880540026218,0.760672999824395,0.0291914796231955,0.454742358450952,-0.974751538951583
-0.157650168072514,0.0934905816613576,-3.5304008985547,19.9391524769772,0.00918456372688299,0.0323129550032302,-0.471399650187869,8.11423323637878,0.0362739885342908,0.743253805257826,0.0291821499444964,0.468778537865451,-0.978052105111394
-0.136615245680238,0.0853088316320696,-3.5821691737299,19.0842780889502,0.00963249975223236,0.0333569910224113,-0.389394672380247,7.8628787973844,0.0316595248712207,0.73868399075356,0.0294696978785485,0.466394554723247,-0.981155591342638
-0.121987484007246,0.0811809268654591,-3.56828104111934,18.4813490951495,0.00963939936866094,0.0342170452652826,-0.401083595970985,8.28589662658599,0.0325371481010602,0.699242024084259,0.0291690123638527,0.476121019208159,-0.980936651413792
-0.125634566389759,0.0778218576211091,-3.61243572563981,18.9198034840727,0.00957278065646519,0.0345161458878657,-0.403012648636347,8.24739923833582,0.0348373387233216,0.666354943222201,0.0290453898811007,0.451593773416279,-0.980392066049382
-0.135491480918874,0.071551592913508,-3.56435413191256,19.6596139611105,0.00977842195542956,0.034272660833245,-0.458655172820183,8.92890763411632,0.0304320250894433,0.669239855060967,0.0292878480531142,0.455006014804301,-0.978430814744534
-0.0959683670794139,0.0718618871433318,-3.59887647108634,18.2781958402654,0.010320163080793,0.0349880175372896,-0.509598885815631,8.2863491961078,0.0340967703698729,0.682534590313575,0.0299144952277451,0.447172692677256,-0.978208429940533
-0.12392550095651,0.0675568281964231,-3.64276578941741,18.7882477543095,0.0102770849494261,0.0343545904976722,-0.440549607112783,8.0029098309101,0.0351381904217284,0.675174857266241,0.0298487878563887,0.439951017511466,-0.978067957778859
