"date","c_star","r_tk","mu_tk","tenor_restant"
2011-09-30,0.028,1.554,-0.544491568630196,3.33744010951403
2011-12-31,0.0281,1.356,1.68787895139404,3.08555783709788
2012-03-31,0.028,0.777,1.06581826664719,2.83641341546886
2013-06-30,0.0218,0.218,0.499340479520938,1.58795345653662
2013-09-30,0.0214,0.224,1.03440910674515,1.33607118412047
2013-12-31,0.0216,0.287,0.319181909027973,1.08418891170431
2014-03-31,0.0198,0.31,-0.381777142195494,0.837782340862423
2014-06-30,0.02,0.207,-0.076107307278404,0.588637919233402
2014-09-30,0.0195,0.081,-0.152660218549552,0.336755646817248
2014-12-31,0.0196,0.078,-0.18186462307222,0.0848733744010951
