"seuil","prob_pct"
2.41459990233849,2
2.41517995910418,1.997
2.41576001586986,1.993
2.41634007263555,1.987
2.41692012940123,1.984
2.41750018616691,1.978
2.4180802429326,1.977
2.41866029969828,1.975
2.41924035646396,1.972
2.41982041322965,1.968
2.42040046999533,1.965
2.42098052676101,1.962
2.4215605835267,1.96
2.42214064029238,1.953
2.42272069705806,1.95
2.42330075382375,1.946
2.42388081058943,1.946
2.42446086735511,1.942
2.4250409241208,1.938
2.42562098088648,1.935
2.42620103765216,1.932
2.42678109441785,1.931
2.42736115118353,1.928
2.42794120794922,1.925
2.4285212647149,1.921
2.42910132148058,1.918
2.42968137824627,1.916
2.43026143501195,1.913
2.43084149177763,1.909
2.43142154854332,1.904
2.432001605309,1.904
2.43258166207468,1.899
2.43316171884037,1.898
2.43374177560605,1.893
2.43432183237173,1.888
2.43490188913742,1.886
2.4354819459031,1.885
2.43606200266878,1.884
2.43664205943447,1.88
2.43722211620015,1.876
2.43780217296584,1.872
2.43838222973152,1.869
2.4389622864972,1.864
2.43954234326289,1.859
2.44012240002857,1.852
2.44070245679425,1.847
2.44128251355994,1.843
2.44186257032562,1.839
2.4424426270913,1.837
2.44302268385699,1.835
2.44360274062267,1.835
2.44418279738835,1.833
2.44476285415404,1.832
2.44534291091972,1.826
2.4459229676854,1.823
2.44650302445109,1.821
2.44708308121677,1.817
2.44766313798245,1.812
2.44824319474814,1.807
2.44882325151382,1.805
2.44940330827951,1.802
2.44998336504519,1.796
2.45056342181087,1.793
2.45114347857656,1.79
2.45172353534224,1.786
2.45230359210792,1.782
2.45288364887361,1.781
2.45346370563929,1.779
2.45404376240497,1.777
2.45462381917066,1.774
2.45520387593634,1.772
2.45578393270202,1.77
2.45636398946771,1.766
2.45694404623339,1.766
2.45752410299907,1.763
2.45810415976476,1.762
2.45868421653044,1.761
2.45926427329612,1.759
2.45984433006181,1.755
2.46042438682749,1.75
2.46100444359318,1.746
2.46158450035886,1.745
2.46216455712454,1.742
2.46274461389023,1.738
2.46332467065591,1.736
2.46390472742159,1.731
2.46448478418728,1.728
2.46506484095296,1.728
2.46564489771864,1.725
2.46622495448433,1.721
