"param","param_value","price"
"gamma1",0.0760934901385715,107.935094756305
"gamma1",0.0803209062573811,107.934727624835
"gamma1",0.0845483223761906,107.934360494753
"gamma1",0.0887757384950001,107.933993366058
"gamma1",0.0930031546138096,107.93362623875
"gamma1",0.0972305707326192,107.933259112829
"gamma1",0.101457986851429,107.932891988295
"gamma1",0.105685402970238,107.932524865148
"gamma1",0.109912819089048,107.932157743388
"gamma1",0.114140235207857,107.931790623016
"gamma2",0.144595341518169,107.934606290435
"gamma2",0.152628416046956,107.934347538688
"gamma2",0.160661490575743,107.934088786942
"gamma2",0.16869456510453,107.933830035195
"gamma2",0.176727639633318,107.933571783657
"gamma2",0.184760714162105,107.933313567575
"gamma2",0.192793788690892,107.933055351492
"gamma2",0.200826863219679,107.932797135409
"gamma2",0.208859937748466,107.932538919326
"gamma2",0.216893012277253,107.932280703243
"kappa1",0.132898501372021,108.035707618305
"kappa1",0.140281751448244,108.012972087114
"kappa1",0.147665001524468,107.99024226482
"kappa1",0.155048251600691,107.967518149916
"kappa1",0.162431501676914,107.944799740893
"kappa1",0.169814751753138,107.922087036244
"kappa1",0.177198001829361,107.899380034464
"kappa1",0.184581251905585,107.876678734044
"kappa1",0.191964501981808,107.85398313348
"kappa1",0.199347752058031,107.831293231265
"kappa2",0.332844443774366,109.072659805231
"kappa2",0.351335801761831,108.833795974839
"kappa2",0.369827159749296,108.580987293879
"kappa2",0.38831851773676,108.327224417798
"kappa2",0.406809875724225,108.066530264588
"kappa2",0.42530123371169,107.797167142912
"kappa2",0.443792591699155,107.512672833947
"kappa2",0.46228394968662,107.219382890007
"kappa2",0.480775307674084,106.91387906425
"kappa2",0.499266665661549,106.581974373572
"chi",0.176119924955476,110.602022264427
"chi",0.242786591622142,109.77305990233
"chi",0.309453258288809,108.489768400978
"chi",0.376119924955476,107.933442675616
"chi",0.442786591622142,106.636765134128
"chi",0.509453258288809,105.70851096046
"chi",0.576119924955476,104.511698493817
"chi",0.642786591622142,103.159453903774
"chi",0.709453258288809,101.990363773592
"chi",0.776119924955476,100.910815909192
